lng,lat
102.1,38.28
102.1,38.28
102.1,38.28
102.1,38.28
102.1,38.28
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
103.12,35.37
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
106.4,35.32
114.41,23.43
114.41,23.43
114.41,23.43
114.41,23.43
114.41,23.43
109.23,23.73
109.23,23.73
109.23,23.73
109.23,23.73
109.23,23.73
109.17,18.73
109.17,18.73
109.17,18.73
109.17,18.73
109.17,18.73
109.83,19.05
109.83,19.05
109.83,19.05
109.83,19.05
109.83,19.05
110.72,19.61
110.72,19.61
110.72,19.61
110.72,19.61
110.72,19.61
127.29,50.14
127.29,50.14
127.29,50.14
127.29,50.14
127.29,50.14
110.29,29.08
110.29,29.08
110.29,29.08
110.29,29.08
110.29,29.08
125.56,41.43
125.56,41.43
125.56,41.43
125.56,41.43
125.56,41.43
122.13,40.39
122.13,40.39
122.13,40.39
122.13,40.39
122.13,40.39
122.16,43.37
122.16,43.37
122.16,43.37
122.16,43.37
122.16,43.37
116.07,43.95
116.07,43.95
116.07,43.95
116.07,43.95
116.07,43.95
122.05,46.08
122.05,46.08
122.05,46.08
122.05,46.08
122.05,46.08
106.22,39.02
106.22,39.02
106.22,39.02
106.22,39.02
106.22,39.02
110.27,35.28
110.27,35.28
110.27,35.28
110.27,35.28
110.27,35.28
108.07,34.28
108.07,34.28
108.07,34.28
108.07,34.28
108.07,34.28
102.22,31.9
102.22,31.9
102.22,31.9
102.22,31.9
102.22,31.9
86.15,41.77
86.15,41.77
86.15,41.77
86.15,41.77
86.15,41.77
86,44.18
86,44.18
86,44.18
86,44.18
86,44.18
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
89.11,42.54
100.08,23.88
100.08,23.88
100.08,23.88
100.08,23.88
100.08,23.88
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
117.01,25.06
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
102.92,34.98
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
107.63,35.73
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
100.26,38.56
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
109.7,18.64
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
124.12,50.42
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
130.16,47.2
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
123.12,41.16
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.48,39.4
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
106.28,36
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
109.47,38.18
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
103.44,29.36
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
104.38,30.09
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
118.75,30.95
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
105.55,26.14
105.55,26.14
105.55,26.14
105.55,26.14
105.55,26.14
105.55,26.14
105.55,26.14
105.55,26.14
105.55,26.14
