lng,lat
117.02,30.31
117.02,30.31
117.02,30.31
117.02,30.31
117.02,30.31
117.21,32.56
117.21,32.56
117.21,32.56
117.21,32.56
117.21,32.56
115.47,33.52
115.47,33.52
115.47,33.52
115.47,33.52
115.47,33.52
117.48,30.67
117.48,30.67
117.48,30.67
117.48,30.67
117.48,30.67
118.18,32.18
118.18,32.18
118.18,32.18
118.18,32.18
118.18,32.18
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
119.31,26.39
118.36,24.56
118.36,24.56
118.36,24.56
118.36,24.56
118.36,24.56
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
103.51,36.04
113.01,23.42
113.01,23.42
113.01,23.42
113.01,23.42
113.01,23.42
112.27,23.03
112.27,23.03
112.27,23.03
112.27,23.03
112.27,23.03
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
106.36,23.54
108.03,24.42
108.03,24.42
108.03,24.42
108.03,24.42
108.03,24.42
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
111.2,23.29
106.42,26.35
106.42,26.35
106.42,26.35
106.42,26.35
106.42,26.35
107.52,26.27
107.52,26.27
107.52,26.27
107.52,26.27
107.52,26.27
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
109.12,27.43
114.3,38.02
114.3,38.02
114.3,38.02
114.3,38.02
114.3,38.02
112.27,34.41
112.27,34.41
112.27,34.41
112.27,34.41
112.27,34.41
111.12,34.47
111.12,34.47
111.12,34.47
111.12,34.47
111.12,34.47
114.04,32.07
114.04,32.07
114.04,32.07
114.04,32.07
114.04,32.07
114.38,33.37
114.38,33.37
114.38,33.37
114.38,33.37
114.38,33.37
125.01,46.36
125.01,46.36
125.01,46.36
125.01,46.36
125.01,46.36
126.36,45.44
126.36,45.44
126.36,45.44
126.36,45.44
126.36,45.44
129.36,44.35
129.36,44.35
129.36,44.35
129.36,44.35
129.36,44.35
114.52,30.23
114.52,30.23
114.52,30.23
114.52,30.23
114.52,30.23
110.47,32.4
110.47,32.4
110.47,32.4
110.47,32.4
110.47,32.4
113.02,25.46
113.02,25.46
113.02,25.46
113.02,25.46
113.02,25.46
112.53,27.52
112.53,27.52
112.53,27.52
112.53,27.52
112.53,27.52
113.09,27.51
113.09,27.51
113.09,27.51
113.09,27.51
113.09,27.51
126.33,43.52
126.33,43.52
126.33,43.52
126.33,43.52
126.33,43.52
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
124.49,45.11
125.19,43.54
125.19,43.54
125.19,43.54
125.19,43.54
125.19,43.54
119.1,34.36
119.1,34.36
119.1,34.36
119.1,34.36
119.1,34.36
120.51,32.01
120.51,32.01
120.51,32.01
120.51,32.01
120.51,32.01
120.18,31.34
120.18,31.34
120.18,31.34
120.18,31.34
120.18,31.34
119.26,32.23
119.26,32.23
119.26,32.23
119.26,32.23
119.26,32.23
116.35,28
116.35,28
116.35,28
116.35,28
116.35,28
114.58,27.07
114.58,27.07
114.58,27.07
114.58,27.07
114.58,27.07
115.58,29.43
115.58,29.43
115.58,29.43
115.58,29.43
115.58,29.43
113.5,27.37
113.5,27.37
113.5,27.37
113.5,27.37
113.5,27.37
114.56,27.48
114.56,27.48
114.56,27.48
114.56,27.48
114.56,27.48
120.27,41.34
120.27,41.34
120.27,41.34
120.27,41.34
120.27,41.34
121.36,38.55
121.36,38.55
121.36,38.55
121.36,38.55
121.36,38.55
111.41,40.48
111.41,40.48
111.41,40.48
111.41,40.48
111.41,40.48
117.23,49.35
117.23,49.35
117.23,49.35
117.23,49.35
117.23,49.35
106.16,38.27
106.16,38.27
106.16,38.27
106.16,38.27
106.16,38.27
105.18,37.52
105.18,37.52
105.18,37.52
105.18,37.52
105.18,37.52
116.33,35.23
116.33,35.23
116.33,35.23
116.33,35.23
116.33,35.23
119.32,35.23
119.32,35.23
119.32,35.23
119.32,35.23
119.32,35.23
119.06,36.43
119.06,36.43
119.06,36.43
119.06,36.43
119.06,36.43
112.33,37.54
112.33,37.54
112.33,37.54
112.33,37.54
112.33,37.54
109.01,32.41
109.01,32.41
109.01,32.41
109.01,32.41
109.01,32.41
108.43,34.2
108.43,34.2
108.43,34.2
108.43,34.2
108.43,34.2
109.28,36.35
109.28,36.35
109.28,36.35
109.28,36.35
109.28,36.35
107.5,31.22
107.5,31.22
107.5,31.22
107.5,31.22
107.5,31.22
104.22,31.09
104.22,31.09
104.22,31.09
104.22,31.09
104.22,31.09
105.33,30.31
105.33,30.31
105.33,30.31
105.33,30.31
105.33,30.31
102.59,29.59
102.59,29.59
102.59,29.59
102.59,29.59
102.59,29.59
119.39,29.07
119.39,29.07
119.39,29.07
119.39,29.07
119.39,29.07
120.34,30
120.34,30
120.34,30
120.34,30
120.34,30
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
122.06,30.01
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
115.48,32.54
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
116.28,31.44
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
110.24,21.11
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
113.22,22.31
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
110.17,25.17
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.24,23.19
109.31,18.14
109.31,18.14
109.31,18.14
