"","lng","lat"
"1",117.02,30.31
"2",117.02,30.31
"3",117.02,30.31
"4",117.02,30.31
"5",117.02,30.31
"6",119.18,26.05
"7",119.18,26.05
"8",119.18,26.05
"9",119.18,26.05
"10",119.18,26.05
"11",118.06,24.27
"12",118.06,24.27
"13",118.06,24.27
"14",118.06,24.27
"15",118.06,24.27
"16",104.62,35.58
"17",104.62,35.58
"18",104.62,35.58
"19",104.62,35.58
"20",104.62,35.58
"21",107.63,35.73
"22",107.63,35.73
"23",107.63,35.73
"24",107.63,35.73
"25",107.63,35.73
"26",113.37,24.48
"27",113.37,24.48
"28",113.37,24.48
"29",113.37,24.48
"30",113.37,24.48
"31",108.37,21.57
"32",108.37,21.57
"33",108.37,21.57
"34",108.37,21.57
"35",108.37,21.57
"36",110,19.75
"37",110,19.75
"38",110,19.75
"39",110,19.75
"40",110,19.75
"41",108.64,19.09
"42",108.64,19.09
"43",108.64,19.09
"44",108.64,19.09
"45",108.64,19.09
"46",110.39,18.8
"47",110.39,18.8
"48",110.39,18.8
"49",110.39,18.8
"50",110.39,18.8
"51",114.28,36.36
"52",114.28,36.36
"53",114.28,36.36
"54",114.28,36.36
"55",114.28,36.36
"56",114.11,35.54
"57",114.11,35.54
"58",114.11,35.54
"59",114.11,35.54
"60",114.11,35.54
"61",115.38,34.26
"62",115.38,34.26
"63",115.38,34.26
"64",115.38,34.26
"65",115.38,34.26
"66",113.52,35.18
"67",113.52,35.18
"68",113.52,35.18
"69",113.52,35.18
"70",113.52,35.18
"71",113.49,34.01
"72",113.49,34.01
"73",113.49,34.01
"74",113.49,34.01
"75",113.49,34.01
"76",130.16,47.2
"77",130.16,47.2
"78",130.16,47.2
"79",130.16,47.2
"80",130.16,47.2
"81",112.2,28.36
"82",112.2,28.36
"83",112.2,28.36
"84",112.2,28.36
"85",112.2,28.36
"86",111.37,26.13
"87",111.37,26.13
"88",111.37,26.13
"89",111.37,26.13
"90",111.37,26.13
"91",122.5,45.38
"92",122.5,45.38
"93",122.5,45.38
"94",122.5,45.38
"95",122.5,45.38
"96",124.49,43.31
"97",124.49,43.31
"98",124.49,43.31
"99",124.49,43.31
"100",124.49,43.31
"101",118.18,33.58
"102",118.18,33.58
"103",118.18,33.58
"104",118.18,33.58
"105",118.18,33.58
"106",119.27,32.11
"107",119.27,32.11
"108",119.27,32.11
"109",119.27,32.11
"110",119.27,32.11
"111",124.22,40.08
"112",124.22,40.08
"113",124.22,40.08
"114",124.22,40.08
"115",124.22,40.08
"116",121.09,41.07
"117",121.09,41.07
"118",121.09,41.07
"119",121.09,41.07
"120",121.09,41.07
"121",123.51,42.18
"122",123.51,42.18
"123",123.51,42.18
"124",123.51,42.18
"125",123.51,42.18
"126",107.42,40.75
"127",107.42,40.75
"128",107.42,40.75
"129",107.42,40.75
"130",107.42,40.75
"131",118.58,42.17
"132",118.58,42.17
"133",118.58,42.17
"134",118.58,42.17
"135",118.58,42.17
"136",109.8,39.62
"137",109.8,39.62
"138",109.8,39.62
"139",109.8,39.62
"140",109.8,39.62
"141",113.12,40.98
"142",113.12,40.98
"143",113.12,40.98
"144",113.12,40.98
"145",113.12,40.98
"146",115.26,35.14
"147",115.26,35.14
"148",115.26,35.14
"149",115.26,35.14
"150",115.26,35.14
"151",115.57,36.26
"152",115.57,36.26
"153",115.57,36.26
"154",115.57,36.26
"155",115.57,36.26
"156",112.43,38.24
"157",112.43,38.24
"158",112.43,38.24
"159",112.43,38.24
"160",112.43,38.24
"161",110.59,35.02
"162",110.59,35.02
"163",110.59,35.02
"164",110.59,35.02
"165",110.59,35.02
"166",113.06,36.11
"167",113.06,36.11
"168",113.06,36.11
"169",113.06,36.11
"170",113.06,36.11
"171",107.09,34.22
"172",107.09,34.22
"173",107.09,34.22
"174",107.09,34.22
"175",107.09,34.22
"176",109.93,33.87
"177",109.93,33.87
"178",109.93,33.87
"179",109.93,33.87
"180",109.93,33.87
"181",108.43,34.2
"182",108.43,34.2
"183",108.43,34.2
"184",108.43,34.2
"185",108.43,34.2
"186",103.83,30.05
"187",103.83,30.05
"188",103.83,30.05
"189",103.83,30.05
"190",103.83,30.05
"191",102.59,29.59
"192",102.59,29.59
"193",102.59,29.59
"194",102.59,29.59
"195",102.59,29.59
"196",86,44.18
"197",86,44.18
"198",86,44.18
"199",86,44.18
"200",86,44.18
"201",82.15,45.25
"202",82.15,45.25
"203",82.15,45.25
"204",82.15,45.25
"205",82.15,45.25
"206",87.18,44.02
"207",87.18,44.02
"208",87.18,44.02
"209",87.18,44.02
"210",87.18,44.02
"211",99.1,25.08
"212",99.1,25.08
"213",99.1,25.08
"214",99.1,25.08
"215",99.1,25.08
"216",98.58,24.43
"217",98.58,24.43
"218",98.58,24.43
"219",98.58,24.43
"220",98.58,24.43
"221",103.48,25.3
"222",103.48,25.3
"223",103.48,25.3
"224",103.48,25.3
"225",103.48,25.3
"226",102.32,24.22
"227",102.32,24.22
"228",102.32,24.22
"229",102.32,24.22
"230",102.32,24.22
"231",120.06,30.52
"232",120.06,30.52
"233",120.06,30.52
"234",120.06,30.52
"235",120.06,30.52
"236",118.18,32.18
"237",118.18,32.18
"238",118.18,32.18
"239",118.18,32.18
"240",118.18,32.18
"241",118.18,32.18
"242",118.18,32.18
"243",118.18,32.18
"244",118.18,32.18
"245",118.18,32.18
"246",118.18,29.43
"247",118.18,29.43
"248",118.18,29.43
"249",118.18,29.43
"250",118.18,29.43
"251",118.18,29.43
"252",118.18,29.43
"253",118.18,29.43
"254",118.18,29.43
"255",118.18,29.43
"256",118.75,30.95
"257",118.75,30.95
"258",118.75,30.95
"259",118.75,30.95
"260",118.75,30.95
"261",118.75,30.95
"262",118.75,30.95
"263",118.75,30.95
"264",118.75,30.95
"265",118.75,30.95
"266",117.36,26.13
"267",117.36,26.13
"268",117.36,26.13
"269",117.36,26.13
"270",117.36,26.13
"271",117.36,26.13
"272",117.36,26.13
"273",117.36,26.13
"274",117.36,26.13
"275",117.36,26.13
"276",103.51,36.04
"277",103.51,36.04
"278",103.51,36.04
"279",103.51,36.04
"280",103.51,36.04
"281",103.51,36.04
"282",103.51,36.04
"283",103.51,36.04
"284",103.51,36.04
"285",103.51,36.04
"286",114.22,23.05
"287",114.22,23.05
"288",114.22,23.05
"289",114.22,23.05
"290",114.22,23.05
"291",114.22,23.05
"292",114.22,23.05
"293",114.22,23.05
"294",114.22,23.05
"295",114.22,23.05
"296",116.21,22.32
"297",116.21,22.32
"298",116.21,22.32
"299",116.21,22.32
"300",116.21,22.32
"301",116.21,22.32
"302",116.21,22.32
"303",116.21,22.32
"304",116.21,22.32
"305",116.21,22.32
"306",109.36,23.06
"307",109.36,23.06
"308",109.36,23.06
"309",109.36,23.06
"310",109.36,23.06
"311",109.36,23.06
"312",109.36,23.06
"313",109.36,23.06
"314",109.36,23.06
"315",109.36,23.06
"316",109.34,19.31
"317",109.34,19.31
"318",109.34,19.31
"319",109.34,19.31
"320",109.34,19.31
"321",109.34,19.31
"322",109.34,19.31
"323",109.34,19.31
"324",109.34,19.31
"325",109.34,19.31
"326",114.3,38.02
"327",114.3,38.02
"328",114.3,38.02
"329",114.3,38.02
"330",114.3,38.02
"331",114.3,38.02
"332",114.3,38.02
"333",114.3,38.02
"334",114.3,38.02
"335",114.3,38.02
"336",112.35,35.04
"337",112.35,35.04
"338",112.35,35.04
"339",112.35,35.04
"340",112.35,35.04
"341",112.35,35.04
"342",112.35,35.04
"343",112.35,35.04
"344",112.35,35.04
"345",112.35,35.04
"346",114.02,33.33
"347",114.02,33.33
"348",114.02,33.33
"349",114.02,33.33
"350",114.02,33.33
"351",114.02,33.33
"352",114.02,33.33
"353",114.02,33.33
"354",114.02,33.33
"355",114.02,33.33
"356",115.01,35.44
"357",115.01,35.44
"358",115.01,35.44
"359",115.01,35.44
"360",115.01,35.44
"361",115.01,35.44
"362",115.01,35.44
"363",115.01,35.44
"364",115.01,35.44
"365",115.01,35.44
"366",112.37,26.53
"367",112.37,26.53
"368",112.37,26.53
"369",112.37,26.53
"370",112.37,26.53
"371",112.37,26.53
"372",112.37,26.53
"373",112.37,26.53
"374",112.37,26.53
"375",112.37,26.53
"376",111.28,27.14
"377",111.28,27.14
"378",111.28,27.14
"379",111.28,27.14
"380",111.28,27.14
"381",111.28,27.14
"382",111.28,27.14
"383",111.28,27.14
"384",111.28,27.14
"385",111.28,27.14
"386",112.53,27.52
"387",112.53,27.52
"388",112.53,27.52
"389",112.53,27.52
"390",112.53,27.52
"391",112.53,27.52
"392",112.53,27.52
"393",112.53,27.52
"394",112.53,27.52
"395",112.53,27.52
"396",114.23,27.47
"397",114.23,27.47
"398",114.23,27.47
"399",114.23,27.47
