"","lng","lat"
"1",104.9,25.08
"2",104.9,25.08
"3",104.9,25.08
"4",104.9,25.08
"5",104.9,25.08
"6",110.31,19.68
"7",110.31,19.68
"8",110.31,19.68
"9",110.31,19.68
"10",110.31,19.68
"11",122.5,45.38
"12",122.5,45.38
"13",122.5,45.38
"14",122.5,45.38
"15",122.5,45.38
"16",125.4,42.32
"17",125.4,42.32
"18",125.4,42.32
"19",125.4,42.32
"20",125.4,42.32
"21",124.49,45.11
"22",124.49,45.11
"23",124.49,45.11
"24",124.49,45.11
"25",124.49,45.11
"26",115.55,28.4
"27",115.55,28.4
"28",115.55,28.4
"29",115.55,28.4
"30",115.55,28.4
"31",122.05,46.08
"32",122.05,46.08
"33",122.05,46.08
"34",122.05,46.08
"35",122.05,46.08
"36",105.18,37.52
"37",105.18,37.52
"38",105.18,37.52
"39",105.18,37.52
"40",105.18,37.52
"41",100.9,36.97
"42",100.9,36.97
"43",100.9,36.97
"44",100.9,36.97
"45",100.9,36.97
"46",111.31,36.05
"47",111.31,36.05
"48",111.31,36.05
"49",111.31,36.05
"50",111.31,36.05
"51",111.13,37.52
"52",111.13,37.52
"53",111.13,37.52
"54",111.13,37.52
"55",111.13,37.52
"56",110.27,35.28
"57",110.27,35.28
"58",110.27,35.28
"59",110.27,35.28
"60",110.27,35.28
"61",108.07,34.28
"62",108.07,34.28
"63",108.07,34.28
"64",108.07,34.28
"65",108.07,34.28
"66",102.22,31.9
"67",102.22,31.9
"68",102.22,31.9
"69",102.22,31.9
"70",102.22,31.9
"71",103.44,29.36
"72",103.44,29.36
"73",103.44,29.36
"74",103.44,29.36
"75",103.44,29.36
"76",104.38,30.09
"77",104.38,30.09
"78",104.38,30.09
"79",104.38,30.09
"80",104.38,30.09
"81",86,44.18
"82",86,44.18
"83",86,44.18
"84",86,44.18
"85",86,44.18
"86",87.53,44.17
"87",87.53,44.17
"88",87.53,44.17
"89",87.53,44.17
"90",87.53,44.17
"91",87.36,43.45
"92",87.36,43.45
"93",87.36,43.45
"94",87.36,43.45
"95",87.36,43.45
"96",100.08,23.88
"97",100.08,23.88
"98",100.08,23.88
"99",100.08,23.88
"100",100.08,23.88
"101",118.75,30.95
"102",118.75,30.95
"103",118.75,30.95
"104",118.75,30.95
"105",118.75,30.95
"106",118.75,30.95
"107",118.75,30.95
"108",118.75,30.95
"109",118.75,30.95
"110",118.75,30.95
"111",107.63,35.73
"112",107.63,35.73
"113",107.63,35.73
"114",107.63,35.73
"115",107.63,35.73
"116",107.63,35.73
"117",107.63,35.73
"118",107.63,35.73
"119",107.63,35.73
"120",107.63,35.73
"121",114.41,23.43
"122",114.41,23.43
"123",114.41,23.43
"124",114.41,23.43
"125",114.41,23.43
"126",114.41,23.43
"127",114.41,23.43
"128",114.41,23.43
"129",114.41,23.43
"130",114.41,23.43
"131",108.64,19.09
"132",108.64,19.09
"133",108.64,19.09
"134",108.64,19.09
"135",108.64,19.09
"136",108.64,19.09
"137",108.64,19.09
"138",108.64,19.09
"139",108.64,19.09
"140",108.64,19.09
"141",109.17,18.73
"142",109.17,18.73
"143",109.17,18.73
"144",109.17,18.73
"145",109.17,18.73
"146",109.17,18.73
"147",109.17,18.73
"148",109.17,18.73
"149",109.17,18.73
"150",109.17,18.73
"151",110.72,19.61
"152",110.72,19.61
"153",110.72,19.61
"154",110.72,19.61
"155",110.72,19.61
"156",110.72,19.61
"157",110.72,19.61
"158",110.72,19.61
"159",110.72,19.61
"160",110.72,19.61
"161",124.12,50.42
"162",124.12,50.42
"163",124.12,50.42
"164",124.12,50.42
"165",124.12,50.42
"166",124.12,50.42
"167",124.12,50.42
"168",124.12,50.42
"169",124.12,50.42
"170",124.12,50.42
"171",110.67,31.75
"172",110.67,31.75
"173",110.67,31.75
"174",110.67,31.75
"175",110.67,31.75
"176",110.67,31.75
"177",110.67,31.75
"178",110.67,31.75
"179",110.67,31.75
"180",110.67,31.75
"181",109.73,28.32
"182",109.73,28.32
"183",109.73,28.32
"184",109.73,28.32
"185",109.73,28.32
"186",109.73,28.32
"187",109.73,28.32
"188",109.73,28.32
"189",109.73,28.32
"190",109.73,28.32
"191",110.29,29.08
"192",110.29,29.08
"193",110.29,29.08
"194",110.29,29.08
"195",110.29,29.08
"196",110.29,29.08
"197",110.29,29.08
"198",110.29,29.08
"199",110.29,29.08
"200",110.29,29.08
"201",126.33,43.52
"202",126.33,43.52
"203",126.33,43.52
"204",126.33,43.52
"205",126.33,43.52
"206",126.33,43.52
"207",126.33,43.52
"208",126.33,43.52
"209",126.33,43.52
"210",126.33,43.52
"211",123.46,41.18
"212",123.46,41.18
"213",123.46,41.18
"214",123.46,41.18
"215",123.46,41.18
"216",123.46,41.18
"217",123.46,41.18
"218",123.46,41.18
"219",123.46,41.18
"220",123.46,41.18
"221",123.12,41.16
"222",123.12,41.16
"223",123.12,41.16
"224",123.12,41.16
"225",123.12,41.16
"226",123.12,41.16
"227",123.12,41.16
"228",123.12,41.16
"229",123.12,41.16
"230",123.12,41.16
"231",106.48,39.4
"232",106.48,39.4
"233",106.48,39.4
"234",106.48,39.4
"235",106.48,39.4
"236",106.48,39.4
"237",106.48,39.4
"238",106.48,39.4
"239",106.48,39.4
"240",106.48,39.4
"241",116.07,43.95
"242",116.07,43.95
"243",116.07,43.95
"244",116.07,43.95
"245",116.07,43.95
"246",116.07,43.95
"247",116.07,43.95
"248",116.07,43.95
"249",116.07,43.95
"250",116.07,43.95
"251",109.28,36.35
"252",109.28,36.35
"253",109.28,36.35
"254",109.28,36.35
"255",109.28,36.35
"256",109.28,36.35
"257",109.28,36.35
"258",109.28,36.35
"259",109.28,36.35
"260",109.28,36.35
"261",109.47,38.18
"262",109.47,38.18
"263",109.47,38.18
"264",109.47,38.18
"265",109.47,38.18
"266",109.47,38.18
"267",109.47,38.18
