"","lng","lat"
"1",102.1,38.28
"2",102.1,38.28
"3",102.1,38.28
"4",102.1,38.28
"5",102.1,38.28
"6",103.12,35.37
"7",103.12,35.37
"8",103.12,35.37
"9",103.12,35.37
"10",103.12,35.37
"11",106.4,35.32
"12",106.4,35.32
"13",106.4,35.32
"14",106.4,35.32
"15",106.4,35.32
"16",109.23,23.73
"17",109.23,23.73
"18",109.23,23.73
"19",109.23,23.73
"20",109.23,23.73
"21",109.17,18.73
"22",109.17,18.73
"23",109.17,18.73
"24",109.17,18.73
"25",109.17,18.73
"26",109.83,19.05
"27",109.83,19.05
"28",109.83,19.05
"29",109.83,19.05
"30",109.83,19.05
"31",127.29,50.14
"32",127.29,50.14
"33",127.29,50.14
"34",127.29,50.14
"35",127.29,50.14
"36",122.13,40.39
"37",122.13,40.39
"38",122.13,40.39
"39",122.13,40.39
"40",122.13,40.39
"41",116.07,43.95
"42",116.07,43.95
"43",116.07,43.95
"44",116.07,43.95
"45",116.07,43.95
"46",122.05,46.08
"47",122.05,46.08
"48",122.05,46.08
"49",122.05,46.08
"50",122.05,46.08
"51",106.22,39.02
"52",106.22,39.02
"53",106.22,39.02
"54",106.22,39.02
"55",106.22,39.02
"56",111.31,36.05
"57",111.31,36.05
"58",111.31,36.05
"59",111.31,36.05
"60",111.31,36.05
"61",110.27,35.28
"62",110.27,35.28
"63",110.27,35.28
"64",110.27,35.28
"65",110.27,35.28
"66",108.07,34.28
"67",108.07,34.28
"68",108.07,34.28
"69",108.07,34.28
"70",108.07,34.28
"71",102.22,31.9
"72",102.22,31.9
"73",102.22,31.9
"74",102.22,31.9
"75",102.22,31.9
"76",86.15,41.77
"77",86.15,41.77
"78",86.15,41.77
"79",86.15,41.77
"80",86.15,41.77
"81",86,44.18
"82",86,44.18
"83",86,44.18
"84",86,44.18
"85",86,44.18
"86",87.53,44.17
"87",87.53,44.17
"88",87.53,44.17
"89",87.53,44.17
"90",87.53,44.17
"91",83.51,44.2
"92",83.51,44.2
"93",83.51,44.2
"94",83.51,44.2
"95",83.51,44.2
"96",89.11,42.54
"97",89.11,42.54
"98",89.11,42.54
"99",89.11,42.54
"100",89.11,42.54
"101",100.08,23.88
"102",100.08,23.88
"103",100.08,23.88
"104",100.08,23.88
"105",100.08,23.88
"106",107.63,35.73
"107",107.63,35.73
"108",107.63,35.73
"109",107.63,35.73
"110",107.63,35.73
"111",107.63,35.73
"112",107.63,35.73
"113",107.63,35.73
"114",107.63,35.73
"115",107.63,35.73
"116",100.26,38.56
"117",100.26,38.56
"118",100.26,38.56
"119",100.26,38.56
"120",100.26,38.56
"121",100.26,38.56
"122",100.26,38.56
"123",100.26,38.56
"124",100.26,38.56
"125",100.26,38.56
"126",109.7,18.64
"127",109.7,18.64
"128",109.7,18.64
"129",109.7,18.64
"130",109.7,18.64
"131",109.7,18.64
"132",109.7,18.64
"133",109.7,18.64
"134",109.7,18.64
"135",109.7,18.64
"136",124.12,50.42
"137",124.12,50.42
"138",124.12,50.42
"139",124.12,50.42
"140",124.12,50.42
"141",124.12,50.42
"142",124.12,50.42
"143",124.12,50.42
"144",124.12,50.42
"145",124.12,50.42
"146",130.16,47.2
"147",130.16,47.2
"148",130.16,47.2
"149",130.16,47.2
"150",130.16,47.2
"151",130.16,47.2
"152",130.16,47.2
"153",130.16,47.2
"154",130.16,47.2
"155",130.16,47.2
"156",124.49,45.11
"157",124.49,45.11
"158",124.49,45.11
"159",124.49,45.11
"160",124.49,45.11
"161",124.49,45.11
"162",124.49,45.11
"163",124.49,45.11
"164",124.49,45.11
"165",124.49,45.11
"166",125.56,41.43
"167",125.56,41.43
"168",125.56,41.43
"169",125.56,41.43
"170",125.56,41.43
"171",125.56,41.43
"172",125.56,41.43
"173",125.56,41.43
"174",125.56,41.43
