"","lng","lat"
"1",102.92,34.98
"2",102.92,34.98
"3",102.92,34.98
"4",102.92,34.98
"5",102.92,34.98
"6",102.1,38.28
"7",102.1,38.28
"8",102.1,38.28
"9",102.1,38.28
"10",102.1,38.28
"11",103.12,35.37
"12",103.12,35.37
"13",103.12,35.37
"14",103.12,35.37
"15",103.12,35.37
"16",106.4,35.32
"17",106.4,35.32
"18",106.4,35.32
"19",106.4,35.32
"20",106.4,35.32
"21",107.63,35.73
"22",107.63,35.73
"23",107.63,35.73
"24",107.63,35.73
"25",107.63,35.73
"26",114.41,23.43
"27",114.41,23.43
"28",114.41,23.43
"29",114.41,23.43
"30",114.41,23.43
"31",109.17,18.73
"32",109.17,18.73
"33",109.17,18.73
"34",109.17,18.73
"35",109.17,18.73
"36",109.83,19.05
"37",109.83,19.05
"38",109.83,19.05
"39",109.83,19.05
"40",109.83,19.05
"41",110.72,19.61
"42",110.72,19.61
"43",110.72,19.61
"44",110.72,19.61
"45",110.72,19.61
"46",127.29,50.14
"47",127.29,50.14
"48",127.29,50.14
"49",127.29,50.14
"50",127.29,50.14
"51",110.29,29.08
"52",110.29,29.08
"53",110.29,29.08
"54",110.29,29.08
"55",110.29,29.08
"56",125.56,41.43
"57",125.56,41.43
"58",125.56,41.43
"59",125.56,41.43
"60",125.56,41.43
"61",123,41.07
"62",123,41.07
"63",123,41.07
"64",123,41.07
"65",123,41.07
"66",122.13,40.39
"67",122.13,40.39
"68",122.13,40.39
"69",122.13,40.39
"70",122.13,40.39
"71",122.16,43.37
"72",122.16,43.37
"73",122.16,43.37
"74",122.16,43.37
"75",122.16,43.37
"76",122.05,46.08
"77",122.05,46.08
"78",122.05,46.08
"79",122.05,46.08
"80",122.05,46.08
"81",111.31,36.05
"82",111.31,36.05
"83",111.31,36.05
"84",111.31,36.05
"85",111.31,36.05
"86",110.27,35.28
"87",110.27,35.28
"88",110.27,35.28
"89",110.27,35.28
"90",110.27,35.28
"91",108.07,34.28
"92",108.07,34.28
"93",108.07,34.28
"94",108.07,34.28
"95",108.07,34.28
"96",109.47,38.18
"97",109.47,38.18
"98",109.47,38.18
"99",109.47,38.18
"100",109.47,38.18
"101",102.22,31.9
"102",102.22,31.9
"103",102.22,31.9
"104",102.22,31.9
"105",102.22,31.9
"106",86,44.18
"107",86,44.18
"108",86,44.18
"109",86,44.18
"110",86,44.18
"111",89.11,42.54
"112",89.11,42.54
"113",89.11,42.54
"114",89.11,42.54
"115",89.11,42.54
"116",100.08,23.88
"117",100.08,23.88
"118",100.08,23.88
"119",100.08,23.88
"120",100.08,23.88
"121",117.01,25.06
"122",117.01,25.06
"123",117.01,25.06
"124",117.01,25.06
"125",117.01,25.06
"126",117.01,25.06
"127",117.01,25.06
"128",117.01,25.06
"129",117.01,25.06
"130",117.01,25.06
"131",104.62,35.58
"132",104.62,35.58
"133",104.62,35.58
"134",104.62,35.58
"135",104.62,35.58
"136",104.62,35.58
"137",104.62,35.58
"138",104.62,35.58
"139",104.62,35.58
"140",104.62,35.58
"141",100.26,38.56
"142",100.26,38.56
"143",100.26,38.56
"144",100.26,38.56
"145",100.26,38.56
"146",100.26,38.56
"147",100.26,38.56
"148",100.26,38.56
"149",100.26,38.56
"150",100.26,38.56
"151",106.36,23.54
"152",106.36,23.54
"153",106.36,23.54
"154",106.36,23.54
"155",106.36,23.54
"156",106.36,23.54
"157",106.36,23.54
"158",106.36,23.54
"159",106.36,23.54
"160",106.36,23.54
"161",109.7,18.64
"162",109.7,18.64
"163",109.7,18.64
"164",109.7,18.64
"165",109.7,18.64
"166",109.7,18.64
"167",109.7,18.64
"168",109.7,18.64
"169",109.7,18.64
"170",109.7,18.64
"171",108.64,19.09
"172",108.64,19.09
"173",108.64,19.09
"174",108.64,19.09
"175",108.64,19.09
"176",108.64,19.09
"177",108.64,19.09
"178",108.64,19.09
"179",108.64,19.09
"180",108.64,19.09
"181",112.35,35.04
"182",112.35,35.04
"183",112.35,35.04
"184",112.35,35.04
"185",112.35,35.04
"186",112.35,35.04
"187",112.35,35.04
"188",112.35,35.04
"189",112.35,35.04
"190",112.35,35.04
"191",124.12,50.42
"192",124.12,50.42
"193",124.12,50.42
"194",124.12,50.42
"195",124.12,50.42
"196",124.12,50.42
"197",124.12,50.42
"198",124.12,50.42
"199",124.12,50.42
"200",124.12,50.42
"201",130.16,47.2
"202",130.16,47.2
"203",130.16,47.2
"204",130.16,47.2
"205",130.16,47.2
"206",130.16,47.2
"207",130.16,47.2
"208",130.16,47.2
"209",130.16,47.2
"210",130.16,47.2
"211",124.49,45.11
"212",124.49,45.11
"213",124.49,45.11
"214",124.49,45.11
"215",124.49,45.11
"216",124.49,45.11
"217",124.49,45.11
"218",124.49,45.11
"219",124.49,45.11
"220",124.49,45.11
"221",123.12,41.16
"222",123.12,41.16
"223",123.12,41.16
"224",123.12,41.16
"225",123.12,41.16
"226",123.12,41.16
"227",123.12,41.16
"228",123.12,41.16
"229",123.12,41.16
"230",123.12,41.16
"231",119.77,49.22
"232",119.77,49.22
"233",119.77,49.22
"234",119.77,49.22
"235",119.77,49.22
"236",119.77,49.22
"237",119.77,49.22
"238",119.77,49.22
"239",119.77,49.22
"240",119.77,49.22
"241",106.48,39.4
"242",106.48,39.4
"243",106.48,39.4
"244",106.48,39.4
"245",106.48,39.4
"246",106.48,39.4
"247",106.48,39.4
"248",106.48,39.4
"249",106.48,39.4
"250",106.48,39.4
"251",116.07,43.95
"252",116.07,43.95
"253",116.07,43.95
"254",116.07,43.95
"255",116.07,43.95
"256",116.07,43.95
"257",116.07,43.95
"258",116.07,43.95
"259",116.07,43.95
"260",116.07,43.95
"261",113.34,37.51
"262",113.34,37.51
"263",113.34,37.51
"264",113.34,37.51
"265",113.34,37.51
"266",113.34,37.51
"267",113.34,37.51
"268",113.34,37.51
"269",113.34,37.51
"270",113.34,37.51
"271",103.44,29.36
"272",103.44,29.36
"273",103.44,29.36
"274",103.44,29.36
"275",103.44,29.36
"276",103.44,29.36
"277",103.44,29.36
"278",103.44,29.36
"279",103.44,29.36
"280",103.44,29.36
"281",104.38,30.09
"282",104.38,30.09
"283",104.38,30.09
"284",104.38,30.09
"285",104.38,30.09
"286",104.38,30.09
"287",104.38,30.09
"288",104.38,30.09
"289",104.38,30.09
"290",104.38,30.09
"291",118.75,30.95
"292",118.75,30.95
"293",118.75,30.95
"294",118.75,30.95
"295",118.75,30.95
"296",118.75,30.95
"297",118.75,30.95
"298",118.75,30.95
"299",118.75,30.95
"300",118.75,30.95
"301",111.2,23.29
"302",111.2,23.29
"303",111.2,23.29
"304",111.2,23.29
"305",111.2,23.29
"306",111.2,23.29
"307",111.2,23.29
"308",111.2,23.29
"309",111.2,23.29
"310",111.2,23.29
"311",105.55,26.14
"312",105.55,26.14
"313",105.55,26.14
"314",105.55,26.14
"315",105.55,26.14
"316",105.55,26.14
"317",105.55,26.14
