"","lng","lat"
"1",117.48,30.67
"2",117.48,30.67
"3",117.48,30.67
"4",117.48,30.67
"5",117.48,30.67
"6",117.01,25.06
"7",117.01,25.06
"8",117.01,25.06
"9",117.01,25.06
"10",117.01,25.06
"11",104.62,35.58
"12",104.62,35.58
"13",104.62,35.58
"14",104.62,35.58
"15",104.62,35.58
"16",102.1,38.28
"17",102.1,38.28
"18",102.1,38.28
"19",102.1,38.28
"20",102.1,38.28
"21",104.92,33.4
"22",104.92,33.4
"23",104.92,33.4
"24",104.92,33.4
"25",104.92,33.4
"26",105.42,34.37
"27",105.42,34.37
"28",105.42,34.37
"29",105.42,34.37
"30",105.42,34.37
"31",100.26,38.56
"32",100.26,38.56
"33",100.26,38.56
"34",100.26,38.56
"35",100.26,38.56
"36",114.41,23.43
"37",114.41,23.43
"38",114.41,23.43
"39",114.41,23.43
"40",114.41,23.43
"41",115.21,22.47
"42",115.21,22.47
"43",115.21,22.47
"44",115.21,22.47
"45",115.21,22.47
"46",106.42,26.35
"47",106.42,26.35
"48",106.42,26.35
"49",106.42,26.35
"50",106.42,26.35
"51",104.5,26.35
"52",104.5,26.35
"53",104.5,26.35
"54",104.5,26.35
"55",104.5,26.35
"56",104.9,25.08
"57",104.9,25.08
"58",104.9,25.08
"59",104.9,25.08
"60",104.9,25.08
"61",117.57,40.59
"62",117.57,40.59
"63",117.57,40.59
"64",117.57,40.59
"65",117.57,40.59
"66",118.11,39.36
"67",118.11,39.36
"68",118.11,39.36
"69",118.11,39.36
"70",118.11,39.36
"71",130.22,46.47
"72",130.22,46.47
"73",130.22,46.47
"74",130.22,46.47
"75",130.22,46.47
"76",129.36,44.35
"77",129.36,44.35
"78",129.36,44.35
"79",129.36,44.35
"80",129.36,44.35
"81",131.11,46.38
"82",131.11,46.38
"83",131.11,46.38
"84",131.11,46.38
"85",131.11,46.38
"86",110.67,31.75
"87",110.67,31.75
"88",110.67,31.75
"89",110.67,31.75
"90",110.67,31.75
"91",124.49,43.31
"92",124.49,43.31
"93",124.49,43.31
"94",124.49,43.31
"95",124.49,43.31
"96",124.22,43.1
"97",124.22,43.1
"98",124.22,43.1
"99",124.22,43.1
"100",124.22,43.1
"101",125.19,43.54
"102",125.19,43.54
"103",125.19,43.54
"104",125.19,43.54
"105",125.19,43.54
"106",120.15,33.35
"107",120.15,33.35
"108",120.15,33.35
"109",120.15,33.35
"110",120.15,33.35
"111",113.5,27.37
"112",113.5,27.37
"113",113.5,27.37
"114",113.5,27.37
"115",113.5,27.37
"116",117.03,28.14
"117",117.03,28.14
"118",117.03,28.14
"119",117.03,28.14
"120",117.03,28.14
"121",123.12,41.16
"122",123.12,41.16
"123",123.12,41.16
"124",123.12,41.16
"125",123.12,41.16
"126",122.13,40.39
"127",122.13,40.39
"128",122.13,40.39
"129",122.13,40.39
"130",122.13,40.39
"131",122.16,43.37
"132",122.16,43.37
"133",122.16,43.37
"134",122.16,43.37
"135",122.16,43.37
"136",122.05,46.08
"137",122.05,46.08
"138",122.05,46.08
"139",122.05,46.08
"140",122.05,46.08
"141",106.28,36
"142",106.28,36
"143",106.28,36
"144",106.28,36
"145",106.28,36
"146",105.18,37.52
"147",105.18,37.52
"148",105.18,37.52
"149",105.18,37.52
"150",105.18,37.52
"151",117.08,36.11
"152",117.08,36.11
"153",117.08,36.11
"154",117.08,36.11
"155",117.08,36.11
"156",113.17,40.06
"157",113.17,40.06
"158",113.17,40.06
"159",113.17,40.06
"160",113.17,40.06
"161",111.31,36.05
"162",111.31,36.05
"163",111.31,36.05
"164",111.31,36.05
"165",111.31,36.05
"166",113.34,37.51
"167",113.34,37.51
"168",113.34,37.51
"169",113.34,37.51
"170",113.34,37.51
"171",113.06,36.11
"172",113.06,36.11
"173",113.06,36.11
"174",113.06,36.11
"175",113.06,36.11
"176",104.22,31.09
"177",104.22,31.09
"178",104.22,31.09
"179",104.22,31.09
"180",104.22,31.09
"181",103.83,30.05
"182",103.83,30.05
"183",103.83,30.05
"184",103.83,30.05
"185",103.83,30.05
"186",104.34,28.47
"187",104.34,28.47
"188",104.34,28.47
"189",104.34,28.47
"190",104.34,28.47
"191",86,44.18
"192",86,44.18
"193",86,44.18
"194",86,44.18
"195",86,44.18
"196",89.11,42.54
"197",89.11,42.54
"198",89.11,42.54
"199",89.11,42.54
"200",89.11,42.54
"201",116.47,33.57
"202",116.47,33.57
"203",116.47,33.57
"204",116.47,33.57
"205",116.47,33.57
"206",116.47,33.57
"207",116.47,33.57
"208",116.47,33.57
"209",116.47,33.57
"210",116.47,33.57
"211",116.58,32.37
"212",116.58,32.37
"213",116.58,32.37
"214",116.58,32.37
"215",116.58,32.37
"216",116.58,32.37
"217",116.58,32.37
"218",116.58,32.37
"219",116.58,32.37
"220",116.58,32.37
"221",118.75,30.95
"222",118.75,30.95
"223",118.75,30.95
"224",118.75,30.95
"225",118.75,30.95
"226",118.75,30.95
"227",118.75,30.95
"228",118.75,30.95
"229",118.75,30.95
"230",118.75,30.95
"231",103.12,35.37
"232",103.12,35.37
"233",103.12,35.37
"234",103.12,35.37
"235",103.12,35.37
"236",103.12,35.37
"237",103.12,35.37
"238",103.12,35.37
"239",103.12,35.37
"240",103.12,35.37
"241",106.36,23.54
"242",106.36,23.54
"243",106.36,23.54
"244",106.36,23.54
"245",106.36,23.54
"246",106.36,23.54
"247",106.36,23.54
"248",106.36,23.54
"249",106.36,23.54
"250",106.36,23.54
"251",108.2,21.37
"252",108.2,21.37
"253",108.2,21.37
"254",108.2,21.37
"255",108.2,21.37
"256",108.2,21.37
"257",108.2,21.37
"258",108.2,21.37
"259",108.2,21.37
"260",108.2,21.37
"261",110.09,22.38
"262",110.09,22.38
"263",110.09,22.38
"264",110.09,22.38
"265",110.09,22.38
"266",110.09,22.38
"267",110.09,22.38
"268",110.09,22.38
"269",110.09,22.38
"270",110.09,22.38
"271",109.12,27.43
"272",109.12,27.43
"273",109.12,27.43
"274",109.12,27.43
"275",109.12,27.43
"276",109.12,27.43
"277",109.12,27.43
"278",109.12,27.43
"279",109.12,27.43
"280",109.12,27.43
"281",115.42,37.44
"282",115.42,37.44
"283",115.42,37.44
"284",115.42,37.44
"285",115.42,37.44
"286",115.42,37.44
"287",115.42,37.44
"288",115.42,37.44
"289",115.42,37.44
"290",115.42,37.44
"291",114.3,37.04
"292",114.3,37.04
"293",114.3,37.04
"294",114.3,37.04
"295",114.3,37.04
"296",114.3,37.04
"297",114.3,37.04
